,Unnamed: 0,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,neighbhood,nameAr,lat_max,lng_max,lat_min,lng_min,Teens,20s,30s,40s,50s,60s,total_labor,neighbhood_id,lat_center,lng_center
0,0,5106,9369,11245,12313,al muruj,المروج,24.76953391,46.67738797,24.74416305,46.64791074,4719,8093,9750,5584,2819,1147,22447,55,24.756848480000002,46.662649355
1,1,8176,10513,15195,17643,al masif,المصيف,24.77711706,46.69530411,24.75308555,46.66904529,6393,10965,13209,7565,3820,1554,30412,46,24.765101305,46.682174700000004
2,2,2744,3335,7809,7625,at taawn,التعاون,24.78468623,46.71329742,24.76064117,46.6870564,2669,4578,5515,3158,1595,649,12697,114,24.7726637,46.70017691
3,3,3600,5596,9286,9817,al izdihar,الازدهار,24.79223997,46.73128176,24.76822194,46.70501163,3511,6022,7254,4154,2098,853,16702,27,24.780230955,46.718146695
4,4,6061,10177,12367,14562,king fahd,الملك فهد,24.75308555,46.68583873,24.72740059,46.65621952,5356,9186,11066,6337,3200,1302,25478,133,24.74024307,46.671029125000004
5,5,3297,5449,6516,7797,al mursalat,المرسلات,24.76064117,46.70379946,24.73633286,46.67738797,2861,4907,5911,3385,1709,695,13609,54,24.748487015000002,46.690593715
6,6,3822,5359,8850,10722,an nuzhah,النزهة,24.76822194,46.72186614,24.74390881,46.69530411,3567,6118,7371,4221,2131,867,16970,87,24.756065375,46.708585125
7,7,1502,1770,5639,4766,al mughrizat,المغرزات,24.77580184,46.73955826,24.75152584,46.71329742,1697,2910,3506,2008,1014,412,8072,50,24.76366384,46.72642784
8,8,7320,8834,7893,8898,al wurud,الورود,24.73633286,46.69360574,24.71168183,46.66468612,4087,7010,8445,4836,2442,994,19444,71,24.724007345,46.679145930000004
9,9,2335,3828,2502,2949,salah ad din,صلاح الدين,24.74390881,46.71251511,24.72094817,46.68583873,1441,2471,2977,1705,861,350,6854,144,24.73242849,46.69917692
10,10,2450,2719,5012,5592,al wahah,الواحة,24.75152584,46.7310142,24.72641808,46.70379946,1957,3356,4043,2315,1169,475,9309,68,24.73897196,46.71740683
11,11,812,1290,1645,1406,king abdullah,الملك عبدالله,24.75947838,46.76248255,24.70340846,46.72186614,639,1096,1321,756,382,155,3041,132,24.731443419999998,46.742174345
12,12,21832,24261,21005,30553,al ulaya,العليا,24.71610111,46.70412252,24.66787099,46.66428271,12116,20781,25033,14337,7240,2946,57635,63,24.69198605,46.684202615000004
13,13,24828,32843,10183,10272,as sulimaniyah,السليمانية,24.72094805,46.71871464,24.67513396,46.6826286,9694,16625,20028,11470,5792,2357,46111,107,24.698041005,46.70067162
14,14,2581,3822,3074,5315,king abdul aziz,الملك عبدالعزيز,24.73358784,46.74524327,24.69202874,46.69314594,1835,3147,3792,2171,1096,446,8730,131,24.712808289999998,46.719194605
15,15,15924,37457,9427,13865,al wazarat,الوزارات,24.69202874,46.71914444,24.66554936,46.70868506,9513,16316,19655,11257,5684,2313,45254,69,24.67878905,46.71391475
16,16,4905,9855,3049,3421,adh dhubbat,الضباط,24.69319559,46.72891397,24.666058,46.71871464,2634,4517,5442,3116,1574,640,12530,5,24.679626794999997,46.723814305000005
17,17,2543,8877,2234,3455,az zahra,الزهراء,24.69506864,46.7415509,24.67849901,46.72388687,2122,3640,4386,2511,1268,516,10098,115,24.686783825,46.732718885
18,18,8640,10733,17337,18524,ar rabwah,الربوة,24.71413811,46.77825155,24.67269508,46.73239385,6853,11754,14159,8109,4095,1666,32600,89,24.693416595000002,46.7553227
19,19,10360,16618,4616,6372,al murabba,المربع,24.68107906,46.71889439,24.64412207,46.69652091,4710,8079,9732,5574,2814,1145,22408,53,24.662600564999998,46.70770765
20,20,18559,28700,11010,12292,al malaz,الملز,24.68139381,46.75522752,24.6471829,46.71679556,8755,15016,18088,10359,5231,2129,41646,38,24.664288355,46.73601154
21,21,5976,11773,5892,7016,jarir,جرير,24.68796137,46.76109027,24.66582558,46.7415509,3804,6524,7859,4501,2273,925,18094,129,24.676893475,46.751320585
22,22,1285,1960,2710,3791,as safa,الصفا,24.67924877,46.78531123,24.65374967,46.74891443,1209,2074,2498,1430,722,294,5752,100,24.66649922,46.76711283
23,23,3413,12133,772,1126,al futah,الفوطة,24.64615979,46.71856436,24.63735918,46.70369462,2164,3712,4471,2561,1293,526,10295,20,24.641759485,46.711129490000005
24,24,6074,12666,1848,3356,al amal,العمل,24.65090145,46.73422257,24.63996102,46.71583452,2971,5095,6138,3515,1775,722,14132,6,24.645431235,46.725028545
25,25,5420,19512,1842,2980,thulaim,ثليم,24.64466312,46.73723851,24.63760441,46.71847438,3691,6331,7627,4368,2206,897,17561,150,24.641133765,46.727856445
26,26,561,6080,806,1258,as sinaiyah,الصناعية,24.65374967,46.76259395,24.62984754,46.73143592,1080,1852,2231,1278,645,262,5137,105,24.641798604999998,46.747014935
27,27,830,1537,1245,2258,al faruq,الفاروق,24.66657908,46.79264081,24.64029979,46.75522752,728,1249,1504,861,435,177,3464,19,24.653439435000003,46.773934165
28,28,4825,20748,1725,1777,ad dirah,الديرة,24.63803277,46.71847438,24.62242108,46.70455769,3607,6187,7453,4268,2155,877,17160,2,24.630226925,46.711516035
29,29,4074,25324,1689,3102,al marqab,المرقب,24.63947887,46.73725934,24.6296345,46.71709544,4242,7275,8764,5019,2534,1031,20179,43,24.634556685,46.72717739
30,30,130,528,281,355,as salam,السلام,24.72235775,46.82830062,24.69243843,46.79543084,160,275,331,189,95,39,763,103,24.707398089999998,46.81186573
31,31,130,528,281,355,as salam,السلام,24.62590954,46.71188566,24.61654719,46.70650272,160,275,331,189,95,39,763,103,24.621228365,46.709194190000005
32,32,4399,6068,21789,22274,as salam,السلام,24.72235775,46.82830062,24.69243843,46.79543084,6766,11604,13979,8006,4043,1645,32184,103,24.707398089999998,46.81186573
33,33,4399,6068,21789,22274,as salam,السلام,24.62590954,46.71188566,24.61654719,46.70650272,6766,11604,13979,8006,4043,1645,32184,103,24.621228365,46.709194190000005
34,34,1418,3351,315,388,ad dubiyah,الدوبية,24.62626456,46.71500306,24.61662546,46.71072801,678,1164,1402,803,405,165,3229,3,24.621445010000002,46.712865535
35,35,913,2311,425,475,al mikal,المعكال,24.62680374,46.71830397,24.61858726,46.71264382,511,877,1057,605,305,124,2434,47,24.6226955,46.715473895
36,36,1021,2360,1106,1814,al wusayta,الوسيطاء,24.62752583,46.71939603,24.62011486,46.71365839,781,1340,1615,925,467,190,3718,72,24.623820345,46.716527209999995
37,37,140,65,1109,1590,al qura,القرى,24.62907946,46.71799104,24.62655929,46.71467486,360,617,744,426,215,87,1714,60,24.627819375,46.71633295
38,38,3636,5771,528,764,jabrah,جبرة,24.6296345,46.72453654,24.62047573,46.715523,1327,2276,2742,1570,793,322,6314,128,24.625055115000002,46.72002977
39,39,953,1379,444,763,al batha,البطحاء,24.6228262,46.72301255,24.62022577,46.71855243,439,753,907,519,262,106,2088,13,24.621525984999998,46.720782490000005
40,40,8305,22363,7349,8075,al ud,العود,24.63541994,46.73607658,24.61728356,46.7179915,5719,9808,11816,6767,3417,1390,27204,62,24.626351749999998,46.72703404
41,41,2268,9235,3948,5083,as salhiyah,الصالحية,24.63919016,46.7398755,24.62873387,46.72949375,2547,4369,5264,3014,1522,619,12119,104,24.633962015,46.734684625
