,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,isSuccessful,neighbhood_id,CompNum
350,as sulai,السلي,24.6895576,46.8421898,Coffee,4,423,True,True,1,11,18,6,7,4,0,24,10
351,areed,عريض,24.5015573,46.6316759,Restaurants,3,201,True,True,1,19,4,1,0,1,0,58,9
352,al ulaya,العليا,24.7065844,46.6792416,Restaurants,4,200,True,True,0,20,20,20,20,7,1,12,56
353,an narjis,النرجس,24.8103074,46.643803,Coffee,4,426,True,True,1,20,20,17,18,3,1,48,24
354,al marqab,المرقب,24.6358184,46.7192953,Restaurants,4,200,False,True,0,20,20,20,16,14,1,34,22
355,al mahdiyah,المهدية,24.639782,46.5399494,Coffee,4,199,True,True,0,16,13,2,9,1,0,95,21
356,al manakh,المناخ,24.5952966,46.77413079999999,Restaurants,4,198,True,True,1,20,10,5,6,1,0,45,16
357,al bariah,البرية,24.5537229,46.8890513,Restaurants,4,428,True,True,1,8,20,12,1,1,0,31,5
358,hittin,حطين,24.7666159,46.6043598,Coffee,4,198,True,True,1,10,20,8,3,2,0,40,13
359,al ulaya,العليا,24.7019244,46.6957453,Coffee,4,429,True,True,1,20,20,17,20,4,1,48,27
360,al yarmuk,اليرموك,24.809887,46.80932,Coffee,4,193,True,True,0,20,13,7,20,4,0,22,5
361,as sahafah,الصحافة,24.7891131,46.6414811,Coffee,4,193,True,True,1,20,20,18,20,9,1,112,20
362,dhahrat al badiah,ظهرة البديعة,24.5814083,46.684728,Coffee,3,514,True,True,0,20,5,13,5,9,0,96,19
363,dhahrat namar,ظهرة نمار,24.5708303,46.6156091,Coffee,4,429,True,True,1,20,14,8,13,2,0,48,17
364,al wurud,الورود,24.7268133,46.6803615,Coffee,4,192,False,True,0,20,20,18,18,13,1,38,31
365,al izdihar,الازدهار,24.7782058,46.7112312,Restaurants,4,429,True,True,1,20,20,14,20,9,1,34,39
366,ar rayan,الريان,24.7224193,46.7754026,Coffee,4,436,True,True,1,20,17,10,13,9,0,48,34
367,ishbiliyah,اشبيلية,24.7862201,46.7998122,Restaurants,4,437,True,True,1,20,7,13,11,4,0,121,14
368,ar rawabi,الروابي,24.6928096,46.79471239999999,Coffee,4,445,True,True,1,20,13,12,18,9,0,65,13
369,ishbiliyah,اشبيلية,24.7842992,46.7701798,Coffee,4,191,True,True,0,20,20,11,20,4,1,102,21
370,dhahrat al badiah,ظهرة البديعة,24.5829876,46.6562345,Coffee,4,1006,True,True,0,20,6,2,1,7,0,96,14
371,al jazirah,الجزيرة,24.6547714,46.7907497,Coffee,3,191,True,False,0,19,13,6,0,2,0,117,6
372,al khalij,الخليج,24.7685266,46.8089452,Restaurants,3,191,False,True,0,20,11,13,14,6,0,42,12
373,as safarat,السفارات,24.6670207,46.6260482,Restaurants,3,191,False,True,1,7,5,6,7,15,0,19,28
374,al yarmuk,اليرموك,24.8030167,46.7818137,Coffee,4,190,True,True,1,20,20,18,20,2,1,82,17
375,as saadah,السعادة,24.7045508,46.8490995,Restaurants,4,190,True,True,1,20,11,5,5,2,0,9,11
376,al ulaya,العليا,24.7104911,46.6676492,Coffee,4,989,True,True,0,20,20,20,20,5,1,48,39
377,an narjis,النرجس,24.8225306,46.649793,Restaurants,4,189,True,True,0,20,20,17,14,2,1,80,25
378,hittin,حطين,24.7500174,46.6140944,Coffee,3,188,True,True,0,9,16,8,6,3,0,51,22
379,siyah,صياح,24.6038921,46.7054285,Coffee,4,186,True,True,0,20,7,8,5,6,0,59,9
380,al futah,الفوطة,24.6408343,46.7159761,Restaurants,4,186,False,True,0,20,20,20,15,14,1,24,27
381,ar rawdah,الروضة,24.7343535,46.7834614,Coffee,4,1034,True,True,0,20,13,15,8,11,0,74,31
382,al marwah,المروة,24.5482228,46.668465,Coffee,4,186,True,True,0,14,5,6,9,2,0,10,16
383,al mansurah,المنصورة,24.6055934,46.7512495,Coffee,4,447,True,True,1,20,10,9,18,3,0,37,22
384,al janadriyah,الجنادرية,24.8009374,46.892247,Restaurants,3,454,True,True,1,20,2,9,1,1,0,109,10
385,an narjis,النرجس,24.8276402,46.6401378,Coffee,4,185,True,True,1,20,20,16,13,2,1,120,11
386,dhahrat namar,ظهرة نمار,24.5699361,46.6393269,Coffee,4,184,True,True,0,20,6,5,8,7,0,121,22
387,al khalij,الخليج,24.7653304,46.7863693,Restaurants,3,456,True,True,1,20,5,11,11,7,0,22,21
388,al hamra,الحمراء,24.7650418,46.76079980000001,Restaurants,3,184,True,True,0,20,20,16,19,5,1,100,14
389,al andalus,الاندلس,24.7507034,46.794435,Coffee,4,184,False,True,1,20,11,6,10,6,0,42,19
390,al mughrizat,المغرزات,24.7647055,46.7158738,Restaurants,4,456,True,True,1,20,20,15,20,11,1,63,41
391,dhahrat al badiah,ظهرة البديعة,24.5847537,46.6774534,Restaurants,4,460,True,True,1,20,5,6,4,7,0,27,17
392,an nasim al gharbi,النسيم الغربي,24.7458686,46.8462433,Coffee,4,461,True,True,1,20,7,7,4,3,0,81,11
393,al faiha,الفيحاء,24.6774847,46.8011121,Coffee,4,183,True,True,0,20,9,8,14,4,0,50,8
394,al mutamarat,المؤتمرات,24.674743,46.695736,Coffee,4,468,False,True,1,20,20,19,20,12,1,9,16
