,place_id,name,neighbhood,nameAr,lat,lng,types,rating,user_ratings_total,rated1,rated2,rated3,rated4,rated5,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,revenues,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,total_labor,Teens,20s,30s,40s,50s,60s
0,ChIJO4BL8MsFLz4RCqUrCLW-sMU,Pakistani Restaurant,al futah,الفوطة,24.6415291,46.71822539999999,Restaurants,4,23,0,0,0,0,5,True,True,1,20,20,20,17,13,132209,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
1,ChIJKaxgO9oFLz4RtMaaknmISZ8,Mangalore Restaurant,al futah,الفوطة,24.6442615,46.7181302,Restaurants,4,20,0,0,0,0,0,True,True,0,20,20,20,17,12,135463,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
2,ChIJ_d5QeFIFLz4RRBFh7LboDXM,"SAGAR RESTAURANT, Batha",al futah,الفوطة,24.6397837,46.7162167,Restaurants,4,37,0,0,0,0,5,True,True,0,20,20,20,16,14,145027,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
3,ChIJQa6TpTwFLz4RAfvt1R-FFLw,Alimsha Family Restaurant( lucky restaurant),al futah,الفوطة,24.6403579,46.7160828,Restaurants,4,24,0,0,0,1,4,True,True,1,20,20,20,17,14,138500,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
4,ChIJT07SO6wFLz4RJmjRZxVTt1I,Regency Restaurant,al futah,الفوطة,24.6408343,46.7159761,Restaurants,4,186,1,0,1,2,2,False,True,0,20,20,20,15,14,138500,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
5,ChIJObXGe3sFLz4Ry0GVFPzO2q4,Kamayan Restaurant Batha Riyadh,al futah,الفوطة,24.6445066,46.71795340000001,Restaurants,2,36,3,2,1,2,0,True,True,0,20,20,20,18,12,136851,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
6,ChIJaYWFbEoFLz4R_oLcXQWnh08,Sagarmatha Family Restaurant,al futah,الفوطة,24.6429876,46.7163652,Restaurants,4,133,2,0,0,1,5,True,True,0,20,20,20,14,12,135729,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
7,ChIJZ6ZPYK4FLz4Ryxe0xo0VLUc,دلهي,al futah,الفوطة,24.6389987,46.7164071,Restaurants,3,477,0,0,3,2,3,True,True,1,20,20,20,17,14,145324,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
8,ChIJG5IJFvYFLz4RcC4IE9IFpJs,SriLanka Restaurant Batha,al futah,الفوطة,24.6397561,46.7168017,Restaurants,4,46,0,0,0,2,4,True,True,0,20,20,20,16,14,142157,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
9,ChIJK_tkuq4FLz4R_KfSAmmJgoQ,مطعم نور الرياض البخاري,al futah,الفوطة,24.6385463,46.7147543,Restaurants,3,224,2,0,3,1,0,True,True,0,20,20,20,17,14,148361,3413,12133,772,1126,10295,2164,3712,4471,2561,1293,526
