,Unnamed: 0,place_id,name,name2,neighbhood,neighbhood2,nameAr,lat,lng,types,rating,user_ratings_total,rated1,rated2,rated3,rated4,rated5,delivery,dine_in,isLoved,schoolNum,companieNum,officeNum,HotelNum,parksNum,revenues,FemaleNonSaudi,MaleNonSaudi,FemaleSaudi,MaleSaudi,total_labor,Teens,20s,30s,40s,50s,60s,CompNum,isSuccessful
19,19,ChIJVXaNq2UFLz4R9WfUGy2WfLg,Pinoy Restaurant,Pinoy Restaurant,Al Murabba,al murabba,المربع,24.6472685,46.716614,Restaurants,4,21,3,0,3,3,10,True,True,0,20,20,20,20,10,120696,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
20,20,ChIJM3VmWK0FLz4RGEVeT04153c,Al Mas Restaurant Batha Branch,Al Mas Restaurant batha branch,Al Murabba,al murabba,المربع,24.6448748,46.718878,Restaurants,4,259,74,0,0,0,185,True,True,1,20,20,20,18,12,128789,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,21,1
21,21,ChIJC1yD4lIELz4RfbOJURNimsM,Cusina Restaurant - Batha,Cusina Restaurant - Batha,Al Murabba,al murabba,المربع,24.6463114,46.7166197,Restaurants,4,324,40,0,81,0,202,True,True,1,20,20,20,20,10,140242,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
22,22,ChIJaYFHW2oFLz4RIvxDcQDiR6o,Pasalubong Pinoy Restaurant,Pasalubong Pinoy Restaurant,Al Murabba,al murabba,المربع,24.6464488,46.7172521,Restaurants,4,22,0,0,7,7,7,True,True,0,20,20,20,20,10,129000,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
23,23,ChIJ677BjDYFLz4Rwst8lvrsVfQ,Kamayan Restaurant Villagio Branch,Kamayan Restaurant Villagio Branch,Al Murabba,al murabba,المربع,24.6463091,46.7171634,Restaurants,4,6,0,0,3,1,1,False,True,1,20,20,20,20,10,140242,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
24,24,ChIJ93yvX94FLz4RBXQ-pt5Tqgw,Palaaram Restaurant,Palaaram Restaurant,Al Murabba,al murabba,المربع,24.6633938,46.7038397,Restaurants,2,54,7,7,23,7,7,True,True,1,20,19,17,20,9,145904,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,22,1
25,25,ChIJT1Sp3IsFLz4RWdYxaKFyMAQ,Indian Veg And Non Veg,Indian Veg and Non Veg,Al Murabba,al murabba,المربع,24.6637705,46.703514,Restaurants,3,250,83,55,27,27,55,True,True,0,20,19,17,20,8,167333,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,22,1
26,26,ChIJtw_Mx4wFLz4RlK2foB9ONWg,Qours Taameya Restaurant,Qours Taameya Restaurant,Al Murabba,al murabba,المربع,24.663987,46.7068285,Restaurants,4,22,0,0,3,6,12,True,True,1,20,19,17,20,10,162541,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,22,1
27,27,ChIJqWYaUhEFLz4RHSzQVBl0oK8,Traditional Malabar Restaurant,Traditional malabar restaurant,Al Murabba,al murabba,المربع,24.6634002,46.7040077,Restaurants,2,35,20,10,5,0,0,True,True,0,20,18,17,20,10,155826,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,22,1
28,28,ChIJGbE59fQELz4R_6ntEX1G2Dg,مطعم الفول,مطعم الفول,Al Murabba,al murabba,المربع,24.6576615,46.7055735,Restaurants,4,145,0,24,24,48,48,False,True,0,20,20,18,20,12,122347,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,27,1
29,29,ChIJC5MBKm8FLz4RxrLNdrYqcxM,Malaz Restaurant Hara,Malaz Restaurant Hara,Al Murabba,al murabba,المربع,24.672777,46.7083489,Restaurants,3,15,9,0,0,1,3,True,True,0,20,19,17,20,12,161708,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,23,1
30,30,ChIJ9yk_yW0FLz4RvFktLAkXbyU,Coffee Bike,Coffee bike,Al Murabba,al murabba,المربع,24.6565594,46.7121955,Coffee,3,4,0,0,0,0,0,True,True,0,20,20,20,20,12,134769,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,29,1
31,31,ChIJ-cRB4VIELz4Rh56hP8lxElU,Berks Cafe,Berks Cafe,Al Murabba,al murabba,المربع,24.6463166,46.7163632,Coffee,4,3,0,0,0,3,0,True,True,1,20,20,20,20,10,140242,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
32,32,ChIJN2MvDIgFLz4Ro0OP9RtWPvw,Coffee,Coffee,Al Murabba,al murabba,المربع,24.6507266,46.7158235,Coffee,0,0,0,0,0,0,0,True,True,0,20,20,20,20,11,119551,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,28,1
33,33,ChIJ_YsOMQsFLz4RrW7-vwwprPY,ستاربكس,ستاربكس,Al Murabba,al murabba,المربع,24.6569571,46.7128099,Coffee,3,25,16,0,0,4,4,True,True,1,20,20,20,20,13,138160,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,31,1
34,34,ChIJywn96qIFLz4RDlxvcylDDEM,Hjeen,Hjeen,Al Murabba,al murabba,المربع,24.6475401,46.7104172,Coffee,1,1,1,0,0,0,0,True,True,0,20,20,20,20,9,124714,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,24,1
35,35,ChIJuVP3sk8FLz4RkfIZDBfnn6M,كاريبو كوفي,كاريبو كوفي,Al Murabba,al murabba,المربع,24.662157,46.703899,Coffee,3,13,8,0,0,0,4,True,True,1,20,20,17,20,11,138047,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,24,1
36,36,ChIJF8RkaYMFLz4R7OKPuBkZz5k,N5 Caffe Head Office,N5 Caffe Head Office,Al Murabba,al murabba,المربع,24.6657646,46.7000297,Coffee,3,7,2,0,0,0,4,True,True,1,20,19,19,20,10,169440,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,24,1
37,37,ChIJ-945OUUFLz4RKtmXe2_Ti_M,Starbucks,Starbucks,Al Murabba,al murabba,المربع,24.6601836,46.700319,Coffee,4,30,5,0,5,0,20,True,True,0,20,20,18,20,11,149157,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,25,1
38,38,ChIJfSOkvx0FLz4RMprLjMAVFUY,بارنز Barn'S Cafe,بارنز Barn's cafe,Al Murabba,al murabba,المربع,24.6664723,46.6987123,Coffee,4,349,58,0,0,0,290,True,True,0,20,20,19,20,11,189580,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,23,1
39,39,ChIJuXaNSikFLz4RRW5m_4mSRmQ,Krispy Kreme  كرسبي كريم,Krispy Kreme  كرسبي كريم,Al Murabba,al murabba,المربع,24.6639541,46.7037608,Coffee,4,36,0,0,6,6,24,True,False,0,20,19,17,20,8,167333,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,23,1
40,40,ChIJ26NnPDQFLz4RciIdLe4W6PI,Dunkin' Donuts ,Dunkin' Donuts ,Al Murabba,al murabba,المربع,24.6510871,46.7039939,Coffee,4,4,0,0,0,0,0,True,True,0,20,20,19,20,9,126960,10360,16618,4616,6372,22408,4710,8079,9732,5574,2814,1145,20,1
