,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
1879,القادسية,Al Qadisiyah,al qadisiyah,2467,"26.06461314,43.55991278","26.05518161,43.54667475"
1880,النهضة,An Nahdah,an nahdah,2467,"26.05558005,43.55973639","26.04408621,43.54913693"
1881,التعاون,At Taawun,at taawun,2467,"26.05889413,43.56790277","26.04568743,43.55932051"
1882,الافراح,Al Afrah,al afrah,2467,"26.05866453,43.57674262","26.04855523,43.56780796"
1883,القدس,Al Quds,al quds,2467,"26.06659300,43.57522411","26.05767366,43.56768156"
1884,الصناعية,As Sinaiyah,as sinaiyah,2467,"26.06536703,43.61953478","26.05269121,43.60933735"
1885,الحزم,Al Hazm,al hazm,2467,"26.04545526,43.56568996","26.02905802,43.54346639"
1886,المجد,Al Majd,al majd,2467,"26.08557251,43.64188251","26.06953420,43.62014423"
1887,الربوة,Al Rabwah,al rabwah,2467,"26.09025958,43.62477715","26.08216571,43.61413079"
1888,الياسمين,Al Yasmin,al yasmin,2467,"26.07470676,43.62215396","26.06346426,43.61103074"
1889,القدس,Al Quds,al quds,2467,"26.07236896,43.63474499","26.06065310,43.61953478"
1890,الربيع,Ar Rabii,ar rabii,2467,"26.08377001,43.62260970","26.07333766,43.61216297"
1891,الريان,Ar Rayyan,ar rayyan,2467,"26.08552998,43.61413079","26.07006700,43.60106321"
1892,الاندلس,Al Andalus,al andalus,2467,"26.08554887,43.60448306","26.06930345,43.59514806"
1893,الخبراء القديمة,Al Khabra Ash Shamali,al khabra ash shamali,2467,"26.06528854,43.68638827","26.04497461,43.64783121"
1894,زبيدة,Zubaiydah,zubaiydah,2467,"26.04855523,43.57501568","26.03547752,43.55861156"
1895,السحابين الجنوبي,As Sahabin Al Janubi,as sahabin al janubi,2467,"26.05488798,43.60587828","26.03450732,43.58617786"
1896,الملك فهد,King Fahd,king fahd,3174,"22.31383958,46.71265837","22.28838688,46.69608414"
1897,السحاب,As Sahab,as sahab,3174,"22.31507822,46.73186373","22.29929558,46.71062774"
1898,الصالحية,As Salhiyah,as salhiyah,3174,"22.29475686,46.73068434","22.28294690,46.72106684"
1899,الدوائر,Ad Dawair,ad dawair,3174,"22.30227812,46.72602339","22.28567667,46.70751500"
1900,العزيزية,Al Aziziyah,al aziziyah,3174,"22.30152978,46.73276362","22.29329236,46.72392821"
1901,الفيصلية,Al Faisaliyah,al faisaliyah,3174,"22.28838688,46.72668871","22.26477191,46.69596871"
1902,الجفيدرية,Al Jufaidariyah,al jufaidariyah,3174,"22.28593896,46.74746559","22.27484707,46.72668871"
1903,غصيبة,Ghusaiba,ghusaiba,3174,"22.29329236,46.74301557","22.28259534,46.72821079"
1904,المبرز,Al Mubarraz,al mubarraz,3174,"22.30175113,46.74089121","22.29005400,46.73068434"
1905,السعودية,As Saudia,as saudia,3174,"22.28294690,46.74622690","22.26800408,46.71941628"
1906,الخالدية,Al Khaldiyah,al khaldiyah,3174,"22.33083168,46.73046836","22.31332659,46.71335121"
1907,الروضة,Ar Rawdah,ar rawdah,1053,"23.79732284,38.79254823","23.78498202,38.77769237"
1908,الغزوة,Al Ghazwah,al ghazwah,1053,"23.78854280,38.80267903","23.77257023,38.78951384"
1909,العدوة,Al Adwah,al adwah,1053,"23.80644689,38.79006165","23.77709261,38.75330368"
1910,الغزلاني,Al Ghuzlani,al ghuzlani,1053,"23.78936986,38.77325060","23.72637700,38.71673485"
1911,ادمان,Idman,idman,1053,"23.77835166,38.83116002","23.73463072,38.79149293"
1912,الجديد,Al Jadid,al jadid,1053,"23.81415515,38.84651835","23.80704291,38.83680806"
1913,الشهداء,Ash Shuhada,ash shuhada,1053,"23.78393035,38.79735056","23.75383317,38.77559162"
1914,المدينة الجديدة,Al Madinah Al Jadidah,al madinah al jadidah,3158,"23.64970665,46.51543408","23.62488357,46.49795720"
1915,الركية,Ar Rukiyah,ar rukiyah,3158,"23.62732210,46.51968710","23.60002948,46.46812265"
1916,الحزيمية,Al Huzaimiyah,al huzaimiyah,3158,"23.62845565,46.54047562","23.61383548,46.51543408"
1917,وسط المدينة,Wasat Al Madinah,wasat al madinah,3158,"23.61911532,46.54152965","23.61164699,46.51881949"
1918,العثمانية,Al Uthmaniyah,al uthmaniyah,3158,"23.63871269,46.53118833","23.62632541,46.52169663"
