,nameAr,neighbhood,nameEn,cityId,neCoordinates,swCoordinates
0,المنهل,Al Manhal,al manhal,15,"18.23004686,42.52403780","18.21814714,42.50670844"
1,النصب,An Nasb,an nasb,15,"18.22519281,42.51503934","18.21472354,42.50058994"
2,وسط المدينة,Down Town,down town,15,"18.22160324,42.50440063","18.21260073,42.49771760"
3,النزهة,An Nuzhah,an nuzhah,15,"18.21795259,42.51796121","18.20282188,42.50814647"
4,ذرة,Dhurah,dhurah,15,"18.21188547,42.51561144","18.20020698,42.50223394"
5,شمسان,Shamsan,shamsan,15,"18.23369174,42.51678644","18.22141632,42.50089132"
6,القرى,Al Qura,al qura,15,"18.25426556,42.50240189","18.23059626,42.47632972"
7,الوردتين,Al Wardatain,al wardatain,15,"18.23223460,42.50244385","18.22462445,42.48924558"
8,الربوة,Ar Rabwah,ar rabwah,15,"18.21889858,42.53696128","18.19055971,42.51801607"
9,النسيم,An Nasim,an nasim,15,"18.21328719,42.55222321","18.18859318,42.53323453"
10,الاندلس,Al Andalus,al andalus,15,"18.21984653,42.52349232","18.20403491,42.51526439"
11,ابهاء الجديدة,Abha Al Jadidah,abha al jadidah,15,"18.22786508,42.49171731","18.19844913,42.46760198"
12,الضباب,Ad Dabab,ad dabab,15,"18.20407583,42.52206092","18.18996366,42.50072248"
13,الوصايف,Al Wasaif,al wasaif,15,"18.24023777,42.49267103","18.22612172,42.47895024"
14,الشرفية,Ash Sharafiyah,ash sharafiyah,15,"18.25546378,42.53665120","18.22973213,42.49720276"
15,العزيزية,Al Aziziyah,al aziziyah,15,"18.21376418,42.50393142","18.20736133,42.49972401"
16,الشفاء,Ash Shifa,ash shifa,15,"18.21260073,42.50596451","18.19930484,42.49171731"
17,المفتاحة,Al Muftahah,al muftahah,15,"18.21491241,42.49972401","18.20693414,42.49039750"
18,السروات,As Sarawat,as sarawat,15,"18.20693414,42.50100091","18.18921495,42.47699550"
19,المروج,Al Muruj,al muruj,15,"18.23604134,42.57499211","18.20108798,42.52650197"
20,السد,As Sad,as sad,15,"18.22107497,42.49938834","18.21183784,42.48803633"
21,الخشع,Al Khasha,al khasha,15,"18.21655457,42.51094253","18.21042445,42.50131085"
22,القابل,Al Qabil,al qabil,15,"18.22738621,42.50091421","18.21994580,42.49550901"
23,الفيصلية,Al Faisaliyah,al faisaliyah,15,"18.22543889,42.49784728","18.21676441,42.48966899"
24,الخالدية,Al Khalidiyah,al khalidiyah,15,"18.23523113,42.49009621","18.21800040,42.46801781"
25,العرين,Al Arin,al arin,15,"18.24751582,42.56464345","18.21787053,42.51692376"
26,الواحة,Al Wahah,al wahah,62,"18.33987171,42.70444914","18.32353086,42.69314488"
27,السد,As Sad,as sad,62,"18.29952460,42.72643129","18.28589597,42.70775918"
28,الجزيرة,Al Jazirah,al jazirah,62,"18.31792436,42.73113704","18.31011550,42.71319470"
29,طيب الاسم,Tayib Al Ism,tayib al ism,62,"18.32607417,42.71145594","18.30560363,42.69645592"
30,الزهور,Az Zuhur,az zuhur,62,"18.30215695,42.74100924","18.28468589,42.73335842"
31,الروضة,Ar Rawdah,ar rawdah,62,"18.30123611,42.73089355","18.29266688,42.72737830"
32,المنتزه,Al Muntazah,al muntazah,62,"18.30641215,42.72705845","18.29952460,42.71547498"
33,الخالدية,Al Khalidiyah,al khalidiyah,65,"18.17614207,42.83898959","18.16256928,42.82650017"
34,ضمك,Damak,damak,62,"18.29297364,42.73317567","18.28165413,42.72315933"
35,الخزان,Al Khazan,al khazan,62,"18.30006296,42.72779494","18.29201373,42.71871622"
36,الخالدية,Al Khalidiyah,al khalidiyah,62,"18.30605430,42.73118007","18.29987093,42.72377483"
37,الزيتون,Az Zaytun,az zaytun,65,"18.18695201,42.86194707","18.17376584,42.85159234"
38,العزيزية,Al Aziziyah,al aziziyah,65,"18.18438471,42.82908453","18.15937790,42.80563840"
39,السلامة,As Salamah,as salamah,65,"18.20681091,42.84041054","18.17851727,42.81718400"
40,النهضة,An Nahdah,an nahdah,65,"18.19186073,42.85443983","18.17213133,42.83812603"
41,وسط البلد,Down Town,down town,65,"18.18315024,42.84775223","18.16560896,42.82664566"
42,الورود,Al Wurud,al wurud,65,"18.17549833,42.86147182","18.15633987,42.83834239"
43,الزهور,Az Zuhur,az zuhur,65,"18.15642543,42.84872286","18.14317036,42.84094425"
44,الفتح,Al Fath,al fath,62,"18.33153475,42.74539809","18.31570883,42.73298352"
45,النهضة,An Nahdah,an nahdah,62,"18.33139046,42.74976572","18.31658043,42.73717334"
46,شباعة,Shubaah,shubaah,62,"18.32408259,42.73589064","18.31133607,42.71351093"
47,المعزاب,Al Mizab,al mizab,62,"18.31804878,42.71922948","18.30629023,42.70425926"
48,المثناة,Al Mathnah,al mathnah,62,"18.30142748,42.73766876","18.28175701,42.73031354"
49,المعمورة,Al Mamurah,al mamurah,62,"18.33146905,42.73436825","18.32270178,42.71431223"
50,النسيم,An Nasim,an nasim,62,"18.29988978,42.76887762","18.28341655,42.75311613"
51,شكر,Shakar,shakar,62,"18.29404393,42.75630701","18.28278629,42.74289199"
52,النزهة,An Nuzhah,an nuzhah,62,"18.28362965,42.74391726","18.27175585,42.73317567"
53,عتود,Atud,atud,62,"18.30694131,42.71871622","18.29663747,42.70317783"
54,ال هميلة,Al Humaylah,al humaylah,62,"18.31016362,42.72111537","18.30566441,42.71185497"
55,العرق الجنوبي,Al Irq Al Janubi,al irq al janubi,62,"18.30710068,42.73916882","18.30119012,42.73075395"
56,الصقور,As Suqur,as suqur,62,"18.30687452,42.76946754","18.29685903,42.75869152"
57,البوادي,Al Bawadi,al bawadi,62,"18.30711104,42.76029774","18.29417111,42.75221547"
58,النخيل,An Nakhil,an nakhil,62,"18.30430364,42.75337602","18.29153568,42.74630352"
59,ام سرور,Umm Surur,umm surur,62,"18.30311339,42.74779204","18.28701000,42.73917535"
60,الشرفية,Ash Sharafiyah,ash sharafiyah,62,"18.30718571,42.75233606","18.30215695,42.73796869"
61,صفوان,Safwan,safwan,65,"18.21829096,42.82788902","18.20217900,42.81365483"
62,الصالحية,As Salhiyah,as salhiyah,65,"18.22257420,42.84815258","18.20427452,42.82896451"
63,المصيف,Al Masif,al masif,65,"18.21751882,42.83635329","18.20515015,42.81958356"
64,الخليج,Al Khalij,al khalij,65,"18.19486033,42.82682344","18.17525115,42.80319148"
65,الربيع,Ar Rabi,ar rabi,62,"18.32310056,42.69661234","18.30195653,42.68456885"
66,قمبر,Qambar,qambar,62,"18.31214174,42.72986417","18.30823286,42.72009937"
67,السلام,As Salam,as salam,62,"18.30937812,42.73038211","18.30543002,42.72104403"
68,العرق الشمالي,Al Irq Ash Shamali,al irq ash shamali,62,"18.31617385,42.73796869","18.30603907,42.72850851"
69,الدوحة,Ad Dawhah,ad dawhah,62,"18.31633430,42.74595530","18.30710068,42.73589064"
70,العزيزية,Al Aziziyah,al aziziyah,62,"18.31969522,42.75836879","18.30688493,42.74495767"
71,القافلة,Al Qafilah,al qafilah,62,"18.32443819,42.70141187","18.30442917,42.69108476"
72,القلعة,Al Qalah,al qalah,17,"16.89138649,42.56374641","16.87203975,42.53990666"
73,الاراك,Al Arak,al arak,17,"16.88175149,42.65181040","16.85138453,42.62979739"
74,الصفا,As Safa,as safa,17,"16.89120374,42.58722028","16.87824279,42.55785342"
75,السويس,As Suways,as suways,17,"16.88303310,42.62387174","16.83398032,42.56844711"
76,البشائر,Al Bashair,al bashair,17,"16.87845809,42.63866682","16.84450443,42.61264066"
77,المطار,Airport,airport,17,"16.91861106,42.59993054","16.88303315,42.55785342"
78,الروابي,Ar Rawabi,ar rawabi,17,"16.97248220,42.61433201","16.92373947,42.56612604"
79,الزهور,Az Zuhur,az zuhur,17,"16.94625594,42.65585219","16.87732189,42.58722028"
80,الشاطئ,Ash Shati,ash shati,17,"16.97188807,42.56807553","16.89644196,42.53784953"
81,الروضة,Ar Rawdah,ar rawdah,17,"16.93036696,42.61301413","16.89120370,42.55108259"
82,الشامية,Ash Shamiyah,ash shamiyah,17,"16.89855021,42.55155194","16.88977543,42.54130686"
83,المنطقة الصناعية,Industrial Area,industrial area,17,"16.87915626,42.64984303","16.82132453,42.54678446"
84,النور,An Nur,an nur,17,"16.96583035,42.65582085","16.92931311,42.61170848"
85,النسيم,An Nasim,an nasim,17,"16.91976823,42.61052162","16.88858789,42.57827261"
86,الجبل,Al Jabal,al jabal,17,"16.89752405,42.55792355","16.88810998,42.54903846"
87,المروج ب,Al Muruj B,al muruj b,1,"28.42449377,36.57774787","28.40659711,36.55947290"
88,السعادة,As Saadah,as saadah,1,"28.39430982,36.55734138","28.38645105,36.54616995"
89,الصناعية,As Sinaiyah,as sinaiyah,1,"28.38680738,36.55047083","28.38189403,36.54605017"
90,المنشية القديمة,Al Munshiyah Al Qadimah,al munshiyah al qadimah,1,"28.38416892,36.56848513","28.37738220,36.55775602"
91,المنشية الجديدة,Al Munshiyah Al Jadidah,al munshiyah al jadidah,1,"28.38374027,36.57346780","28.37851936,36.56741184"
92,مخطط الراجحي,Ar Rajihi Subdivision,ar rajihi subdivision,1,"28.42806715,36.54374552","28.40462984,36.52356983"
93,القادسية,Al Qadisiyah,al qadisiyah,1,"28.45721944,36.52907799","28.40735352,36.48542683"
94,العوايشة,Al Awayshah,al awayshah,1,"28.38947789,36.56682006","28.37997049,36.55031818"
95,رحيل,Rahil,rahil,1,"28.38253965,36.55987363","28.37367035,36.54573423"
96,الصالحية,As Salhiyah,as salhiyah,1,"28.40848550,36.55835793","28.39106387,36.53842871"
97,مخطط الرابية,Ar Rabiyah Subdivision,ar rabiyah subdivision,1,"28.47865145,36.56980882","28.45140860,36.53904351"
98,الروضة,Ar Rawdah,ar rawdah,1,"28.41879643,36.53842871","28.39327750,36.51001189"
99,المصيف,Al Masif,al masif,1,"28.46541316,36.55839098","28.42806715,36.51017526"
100,العزيزية الجديدة,Al Aziziyah Al Jadidah,al aziziyah al jadidah,1,"28.38936796,36.58096090","28.37816954,36.56550434"
101,النهضة,An Nahdah,an nahdah,1,"28.40462984,36.54775118","28.38173715,36.52275722"
102,كريم,Karim,karim,1,"28.37726135,36.55139849","28.36488877,36.53862178"
103,ابو سبعة,Abu Sabah,abu sabah,1,"28.36807237,36.54460651","28.36279990,36.53718679"
104,الرويعيات,Ar Ruwayiyat,ar ruwayiyat,1,"28.36569409,36.55153401","28.35960017,36.54215968"
105,الشيخ,Ash Shaikh,ash shaikh,1,"28.37465810,36.56052012","28.36336271,36.54517485"
106,البساتين,Al Basatin,al basatin,1,"28.37351034,36.56295567","28.36349994,36.55392636"
107,الفيصلية الشمالية,Al Faisaliyah Ash Shamaliyah,al faisaliyah ash shamaliyah,1,"28.41120660,36.56155035","28.39685369,36.54374552"
108,العزيزية القديمة,Al Aziziyah Al Qadimah,al aziziyah al qadimah,1,"28.40112005,36.57540625","28.38523023,36.55417938"
109,الورود,Al Wurud,al wurud,1,"28.42150716,36.58928011","28.40435074,36.57058040"
110,المروج,Al Muruj,al muruj,1,"28.42808966,36.59853370","28.40764318,36.57527375"
111,المهرجان,Al Mahrajan,al mahrajan,1,"28.41021256,36.57976651","28.39310820,36.55527028"
112,السلمان,As Salman,as salman,1,"28.39314082,36.58446563","28.38393574,36.57138108"
113,الفيصلية الجنوبية,Al Faisaliyah Al Janubiyah,al faisaliyah al janubiyah,1,"28.39689407,36.58743174","28.38793233,36.57546226"
114,العليا,Al Ulaya,al ulaya,1,"28.39181206,36.59503726","28.37400876,36.57740045"
115,الخالدية,Al Khalidiyah,al khalidiyah,1,"28.37921669,36.56861973","28.37376041,36.55845956"
116,المنتزه,Al Muntazah,al muntazah,1,"28.37445871,36.56553046","28.36458130,36.56043750"
117,الهضيبة,Al Hudaybah,al hudaybah,1,"28.38038912,36.58307489","28.36022505,36.56265474"
118,السلام,As Salam,as salam,1,"28.42971978,36.63809810","28.38704735,36.58743174"
119,سلطانة,Sultanah,sultanah,1,"28.41219990,36.59940221","28.39181206,36.57819951"
120,منطقة العسكرية,Military Area,military area,1,"28.37343780,36.66150313","28.29021307,36.55761258"
121,مطار,Airport,airport,1,"28.39069231,36.67713769","28.30872547,36.58356681"
122,السليمانية,As Sulimaniyah,as sulimaniyah,1,"28.41297276,36.58353435","28.39797700,36.56516641"
123,اجا,Aja,aja,10,"27.57158345,41.70587400","27.55455831,41.67180173"
124,العزيزية,Al Aziziyah,al aziziyah,10,"27.54066874,41.69880043","27.52319826,41.65897125"
125,المزعبر,Al Muzaabar,al muzaabar,10,"27.53648482,41.72582298","27.52648782,41.69545670"
126,برزان,Barzan,barzan,10,"27.52845433,41.70946180","27.52327222,41.69777413"
127,المحطة,Al Mahattah,al mahattah,10,"27.52373717,41.69912508","27.51021316,41.68303615"
128,سماح,Samah,samah,10,"27.52351933,41.70291724","27.51329702,41.69681075"
129,لبدة,Labdah,labdah,10,"27.52329821,41.71801128","27.51354648,41.70253171"
130,الزبارة,Az Zibarah,az zibarah,10,"27.51666027,41.71650470","27.49343180,41.69820162"
131,ام العراد,Umm Al Arad,umm al arad,5,"21.26513014,40.41258123","21.21679188,40.40389769"
132,شهار,Shihar,shihar,5,"21.25979644,40.41998422","21.24274326,40.40942125"
133,السمراء,As Samra,as samra,10,"27.51261134,41.73445893","27.47941794,41.70573680"
134,المنطقة الصناعية,Industrial Area,industrial area,10,"27.50611126,41.79860177","27.46330986,41.72505561"
135,الزهراء,Az Zahra,az zahra,10,"27.56803985,41.73037337","27.55462566,41.70385906"
136,الخزامى,Al Khuzama,al khuzama,10,"27.59663890,41.73651095","27.56180925,41.70627679"
137,مغيضة,Mughaydah,mughaydah,10,"27.53308072,41.73015682","27.52084728,41.70770787"
138,حدري البلاد,Hadri Al Bilad,hadri al bilad,10,"27.56308079,41.80871127","27.52788860,41.72626510"
139,الخريمي,Al Khuraymi,al khuraymi,10,"27.53627107,41.80593159","27.49189444,41.71473055"
140,السويفلة,As Suwayfilah,as suwayfilah,10,"27.62039268,41.81707390","27.55608287,41.73039548"
141,البدنة,Al Badnah,al badnah,10,"27.47419972,41.73826345","27.45583186,41.71780324"
142,العزيزية,Al Aziziyah,al aziziyah,5,"21.28384608,40.41497254","21.27462657,40.40342984"
143,عودة,Awdah,awdah,5,"21.26518189,40.41353085","21.20979644,40.37340544"
144,السداد,As Sadad,as sadad,5,"21.24732113,40.46954294","21.21023674,40.41046601"
145,الوسيطاء,Al Wusayta,al wusayta,10,"27.52358842,41.68381305","27.49170017,41.65819003"
146,صبابة,Sababah,sababah,10,"27.52987030,41.66010824","27.51348138,41.63666059"
147,المطار,Airport,airport,10,"27.51029504,41.69952102","27.48028174,41.68091134"
148,البحيرة,Al Buhayrah,al buhayrah,10,"27.49991259,41.70717487","27.46854457,41.69195636"
149,النقرة,An Naqrah,an naqrah,10,"27.49817336,41.69195636","27.44553052,41.62643343"
150,الخماشية,Al Khamashiyah,al khamashiyah,10,"27.49187854,41.74784806","27.46487349,41.70213204"
151,مطار حائل الاقليمي,Hail Regional Airport,hail regional airport,10,"27.48028174,41.70213409","27.41615303,41.66277382"
152,مطار حائل الاقليمي,Hail Regional Airport,hail regional airport,10,"27.43711546,41.68620137","27.43343136,41.68251736"
153,السويفلة,As Suwayfilah,as suwayfilah,10,"27.64867142,41.75577701","27.59174338,41.71090484"
154,النسية,An Nasiyah,an nasiyah,10,"27.64917576,41.72745321","27.59664657,41.65735030"
155,الشهداء الشمالية,Ash Shuhada Ash Shamaliyah,ash shuhada ash shamaliyah,5,"21.27462030,40.43095800","21.26203335,40.41788155"
156,حوايا,Hawaya,hawaya,5,"21.26952014,40.41822289","21.25955786,40.41065002"
157,الشهداء الجنوبية,Ash Shuhada Al Janubiyah,ash shuhada al janubiyah,5,"21.26665571,40.43348552","21.24988177,40.41584142"
158,المنتزه الغربي,Al Muntazah Al Gharbi,al muntazah al gharbi,10,"27.55533991,41.70385906","27.53632021,41.66268406"
159,جبرة,Jabrah,jabrah,5,"21.30383898,40.43727292","21.29545845,40.42762737"
160,القطبية,Al Qutbiyah,al qutbiyah,5,"21.30135774,40.45085010","21.27255736,40.42949167"
161,نخب,Nakhb,nakhb,5,"21.27450204,40.45790718","21.25367431,40.42961998"
162,القمرية,Al Qamariyah,al qamariyah,5,"21.28826038,40.43453160","21.27303470,40.42274277"
163,المصيف,Al Masif,al masif,10,"27.60213598,41.71090742","27.56542627,41.67193024"
164,الريان,Ar Rayan,ar rayan,5,"21.28973637,40.42949167","21.27774910,40.41778006"
165,الشرقية,Ash Sharqiyah,ash sharqiyah,5,"21.28141585,40.42456350","21.26680614,40.41175926"
166,المثناه,Al Mathnah,al mathnah,5,"21.26870569,40.39968855","21.24638024,40.37268651"
167,المنطقة المركزية,Central Area,central area,5,"21.27704627,40.41335069","21.26931060,40.40259015"
168,السلامة,As Salamah,as salamah,5,"21.27401051,40.41175926","21.26115548,40.39587559"
169,قروى,Qurwa,qurwa,5,"21.28717399,40.40327651","21.26554029,40.36693568"
170,شبرا,Shubra,shubra,5,"21.28831664,40.42122392","21.27395078,40.41166969"
171,الفيصلية,Al Faisaliyah,al faisaliyah,5,"21.32007387,40.43523703","21.28819615,40.41678333"
172,الخالدية,Al Khalidiyah,al khalidiyah,5,"21.29940562,40.40345150","21.27305090,40.36818499"
173,العقيق,Al Aqiq,al aqiq,5,"21.29223966,40.41678333","21.28253859,40.40432059"
174,معشي,Maashi,maashi,5,"21.29293931,40.40461786","21.27710604,40.39690495"
175,الوشحاء,Al Washha,al washha,5,"21.26553524,40.47157599","21.23478191,40.42729519"
176,النزهة,An Nuzhah,an nuzhah,5,"21.26184180,40.42928673","21.24546425,40.41204984"
177,المنتزه الشرقي,Al Muntazah Ash Sharqi,al muntazah ash sharqi,10,"27.55492476,41.73105302","27.53306851,41.69542750"
178,اسكان الحرس الوطني,Iskan Al Haras Al Watani,iskan al haras al watani,12,"25.45809290,49.53847913","25.43737145,49.50571894"
179,اليحيى,Al Yahya,al yahya,12,"25.43614999,49.58363666","25.42531676,49.57236636"
180,الشروفية,Ash Shurufiyah,ash shurufiyah,12,"25.42663300,49.58473989","25.41978113,49.57380059"
181,الحزم,Al Hazm,al hazm,12,"25.42219204,49.58521220","25.41654727,49.57478317"
182,القديمات,Al Qudaymat,al qudaymat,12,"25.41751875,49.59609826","25.41142644,49.58744852"
183,العتبان,Al Utban,al utban,12,"25.41739077,49.58804969","25.41309650,49.57879220"
184,السياسب,Al Sayasib,al sayasib,12,"25.41385648,49.58907830","25.40750104,49.58322142"
185,القادسية,Al Qadisiyah,al qadisiyah,12,"25.41998421,49.57887719","25.40195964,49.56092532"
186,مخطط الراجحي,Al Rajihi Subdivision,al rajihi subdivision,12,"25.44915544,49.57472404","25.41978366,49.52784502"
187,محاسن البلدية,Mahasin Al Baladiyah,mahasin al baladiyah,12,"25.42333919,49.56144498","25.40039775,49.54606531"
188,محاسن ارامكو,Mahasin Aramco,mahasin aramco,12,"25.42760317,49.54880705","25.39988390,49.51469078"
189,وسط المدينة,Down Town,down town,12,"25.40944741,49.59851085","25.38938119,49.56060352"
190,الرفعة الشمالية,Ar Rafah Ash Shamaliyah,ar rafah ash shamaliyah,12,"25.38021692,49.59785350","25.37402408,49.58583270"
191,الرفعة الجنوبية,Ar Rafah Al Janubiyah,ar rafah al janubiyah,12,"25.37450359,49.59378900","25.36765798,49.58669474"
192,الكوت النعاثل,Al Kawt An Naathil,al kawt an naathil,12,"25.38141645,49.58687646","25.37060998,49.57628670"
193,الصالحية,As Salhiyah,as salhiyah,12,"25.37871493,49.60392212","25.36808959,49.59133164"
194,الروضة,Ar Rawdah,ar rawdah,12,"25.36929622,49.61510099","25.34396686,49.59868825"
195,مناطق زراعية,Agricultura Area,agricultura area,12,"25.61475219,49.76929764","25.27574260,49.54324644"
196,محمد العيسى,Muhammed Al Isa,muhammed al isa,12,"25.36049743,49.62694056","25.34801453,49.60900770"
197,الجشة,Al Jishah,al jishah,12,"25.39324070,49.76318226","25.38166220,49.74077471"
198,مدينة العيون,Madinat Al Uyun,madinat al uyun,12,"25.63579021,49.57236902","25.58653315,49.53848202"
199,الطرف,At Tarf,at tarf,12,"25.36869448,49.73950184","25.33351452,49.70325619"
200,جواثا,Jwatha,jwatha,12,"25.46366749,49.69222673","25.42480908,49.63645630"
201,الشعبى,Ash Shuabi,ash shuabi,12,"25.48267824,49.62538561","25.46124358,49.61221666"
202,النزهة,An Nuzhah,an nuzhah,12,"25.46135965,49.61239428","25.44743067,49.59264253"
203,مدينة العمران,Madinat Al Umran,madinat al umran,12,"25.42999150,49.73082192","25.39933781,49.70194643"
204,الخرس,Al Khars,al khars,12,"25.44835282,49.58295150","25.43475798,49.56822308"
205,الراشدية,Ar Rashidiyah,ar rashidiyah,12,"25.45791574,49.59878231","25.43603367,49.57931981"
206,المطيرفي,Al Mutayrifi,al mutayrifi,12,"25.48336289,49.56112530","25.47181221,49.55184508"
207,مخطط علي الخرس واحمد الشهاب,Ali Al Khars And Ahmad Ash Shihab Subdivision,ali al khars and ahmad ash shihab subdivision,12,"25.46144949,49.56969730","25.43667678,49.54557067"
208,مدينة المبرز,Madinat Al Mubarraz,madinat al mubarraz,12,"25.42235323,49.60109397","25.41557912,49.58468645"
209,الشعبة,Ash Shuabah,ash shuabah,12,"25.41631617,49.60264876","25.40840265,49.58843221"
210,الاندلس,Al Andalus,al andalus,12,"25.41002941,49.61398584","25.39270704,49.59578041"
211,الفاضلية,Al Fadiliyah,al fadiliyah,12,"25.39473685,49.60897309","25.37840520,49.58148619"
212,البصيرة,Al Basirah,al basirah,12,"25.37489543,49.61967391","25.36245945,49.60347957"
213,الشهابية,Ash Shihabiyah,ash shihabiyah,12,"25.36452841,49.62491476","25.35618983,49.60482653"
214,الملك فهد,King Fahd,king fahd,12,"25.36492019,49.64394009","25.34713990,49.62448174"
215,عبداللطيف العيسى,Abdul Latif Al Isa,abdul latif al isa,12,"25.35498510,49.63491097","25.34393525,49.61362016"
216,الجامعيين,Al Jamiyin,al jamiyin,12,"25.32582049,49.60590439","25.30585558,49.57801352"
217,المزروع,Al Mazrua,al mazrua,12,"25.34886149,49.62111632","25.33359272,49.60404391"
218,جامعة الملك فيصل,King Faisal University,king faisal university,12,"25.35290741,49.61473557","25.31408708,49.59096454"
219,النسيم,An Nasim,an nasim,12,"25.33678086,49.61544454","25.32114710,49.60353758"
220,الواحة,Al Wahah,al wahah,12,"25.34024349,49.63864623","25.31914103,49.61470602"
221,الاسكان العام,Al Iskan Al Am,al iskan al am,12,"25.33057506,49.59940616","25.32208006,49.58789129"
222,جنوب منسوبي التعليم,Janub Mansubi At Talim,janub mansubi at talim,12,"25.31411771,49.61415719","25.28924257,49.58713146"
223,مناطق زراعية,Agricultura Area,agricultura area,12,"25.32588120,49.67699297","25.27160260,49.60590423"
224,الخالدية,Al Khalidiyah,al khalidiyah,12,"25.34475540,49.59707361","25.32651129,49.57976631"
225,الزهرة,Az Zahrah,az zahrah,12,"25.33184392,49.59291643","25.31915360,49.57807029"
226,العويمرية,Al Uwaimiriyah,al uwaimiriyah,12,"25.36450774,49.59376501","25.34374145,49.57973431"
227,مطار,Airport,airport,12,"25.30088525,49.49935461","25.26144324,49.47820405"
228,البندرية,Al Bandariyah,al bandariyah,12,"25.34818625,49.58336497","25.33182901,49.55848084"
229,السلمانية الجنوبية,As Salmaniyah Al Janubiyah,as salmaniyah al janubiyah,12,"25.36319320,49.56792874","25.33809477,49.52990739"
230,جنوب الهفوف,Janub Al Hafuf,janub al hafuf,12,"25.32376142,49.58544135","25.29722692,49.53543456"
231,السلمانية الشمالية,As Salmaniyah Ash Shamaliyah,as salmaniyah ash shamaliyah,12,"25.37575988,49.55589552","25.35369465,49.53497836"
232,الصيهد,As Sayhad,as sayhad,12,"25.37263827,49.56230432","25.36139564,49.55514820"
233,المعلمين الغربية,Al Mualimin Al Gharbiyah,al mualimin al gharbiyah,12,"25.37372397,49.56780704","25.36277631,49.55983138"
234,الرقيقة,Ar Ruqayqah,ar ruqayqah,12,"25.36418650,49.58039670","25.34475223,49.56697217"
235,المحمدية,Al Muhammadiyah,al muhammadiyah,12,"25.38103552,49.56556841","25.37173386,49.55478022"
236,المزروعية,Al Mazruaiyah,al mazruaiyah,12,"25.37216284,49.58842428","25.36648132,49.56649501"
237,المعلمين الشرقية,Al Mualimin Ash Sharqiyah,al mualimin ash sharqiyah,12,"25.36821957,49.58822148","25.36325635,49.56708439"
238,النايفية,An Nayfiyah,an nayfiyah,12,"25.34213549,49.56486149","25.31896673,49.53819593"
239,العزيزية,Al Aziziyah,al aziziyah,12,"25.33599016,49.58059848","25.32239568,49.56246784"
240,المثلث,Al Muthalath,al muthalath,12,"25.35389839,49.60847459","25.34377869,49.59376510"
241,بو سحبل,Bu Sahbal,bu sahbal,12,"25.47034841,49.62710120","25.45166662,49.60752649"
242,المنيزلة,Al Munayzilah,al munayzilah,12,"25.38559630,49.67976631","25.37276836,49.65873002"
243,مدينة الجفر,Madinat Al Jafr,madinat al jafr,12,"25.38645058,49.73166448","25.37204018,49.71249311"
244,خاخ,Khakh,khakh,14,"24.37598501,39.55418136","24.34865914,39.52909345"
245,السكب,As Sakb,as sakb,14,"24.37416180,39.60606985","24.34351994,39.55247952"
246,الجصة,Al Jassah,al jassah,14,"24.37623310,39.63113246","24.34483108,39.59937795"
247,رهط,Raht,raht,14,"24.38711817,39.66289270","24.35136902,39.61955193"
248,بني بياضة,Bani Bayadah,bani bayadah,14,"24.39660138,39.59937795","24.36600980,39.58374368"
249,نبلاء,Nubala,nubala,14,"24.39527414,39.68147446","24.36391007,39.64382110"
250,الشهباء,Ash Shahba,ash shahba,14,"24.41161676,39.56132845","24.37285355,39.54378233"
251,الرمانة,Ar Rumanah,ar rumanah,14,"24.41123200,39.69659657","24.37527327,39.66175225"
252,ابو كبير,Abu Kabir,abu kabir,14,"24.41221227,39.55247952","24.37231445,39.52014132"
253,الغراء,Al Gharra,al gharra,14,"24.41684314,39.68457524","24.39373158,39.65276219"
254,السد,As Sad,as sad,14,"24.42346433,39.65836777","24.38711817,39.62121689"
255,الجابرة,Al Jabirah,al jabirah,14,"24.42336894,39.59388801","24.39126481,39.57691594"
256,الرانوناء,Ar Ranuna,ar ranuna,14,"24.42576440,39.61955193","24.36887022,39.58538629"
257,الحديقة,Al Hadiqah,al hadiqah,14,"24.42780333,39.62344933","24.40458668,39.59710829"
258,ابو بريقاء,Abu Burayqa,abu burayqa,14,"24.42842803,39.57850596","24.40875512,39.54873711"
259,الروابي,Ar Rawabi,ar rawabi,14,"24.42942478,39.67474071","24.40279279,39.64317944"
260,القصواء,Al Qaswa,al qaswa,14,"24.43614446,39.60672061","24.42159020,39.57525627"
261,العصبة,Al Usbah,al usbah,14,"24.43947562,39.62121689","24.42018867,39.60149426"
262,الخاتم,Al Khatim,al khatim,14,"24.44083625,39.63516501","24.42006793,39.61677078"
263,العزيزية,Al Aziziyah,al aziziyah,14,"24.44135870,39.53214034","24.39429689,39.46999175"
264,العهن,Al Ihn,al ihn,14,"24.44236613,39.65286753","24.42185321,39.62550873"
265,ذو الحليفة,Dhu Al Hulayfah,dhu al hulayfah,14,"24.44675568,39.58312458","24.40984662,39.53874723"
266,مهزور,Mahzur,mahzur,14,"24.45089633,39.66871843","24.42942478,39.63329137"
267,الدويمة,Ad Duwaimah,ad duwaimah,14,"24.45175036,39.61677078","24.43804088,39.60270929"
268,مذينب,Mudhainib,mudhainib,14,"24.45328745,39.68996536","24.41684314,39.65286753"
269,عين الخيف,Ayn Al Khif,ayn al khif,14,"24.45347961,39.69650884","24.41123200,39.67474071"
270,عروة,Urwah,urwah,14,"24.45317324,39.60149426","24.43213413,39.57448761"
271,الظاهرة,Az Zahirah,az zahirah,14,"24.45687987,39.61016534","24.43614446,39.59108787"
