,uri,title,price,content,area,street_width,age,street_direction,location.lat,location.lng,user.review,rent_period,city,city_id,district,district_id,width,length,daily_rentable
2158,شارع-الأمير-محمد-بن-سعد-بن-عبدالعزيز-حي-القيروان-الرياض-الرياض-4714327,محل للإيجار في شارع الأمير محمد بن سعد بن عبدالعزيز ، حي القيروان ، الرياض ، الرياض,120000.0,,195.0,60.0,,3.0,24.825249,46.593304,3.93,,الرياض,21,حي القيروان,536,15.0,13.0,0.0
2161,شارع-الوليد-بن-عبدالملك-حي-طويق-الرياض-الرياض-4716011,محل للإيجار في شارع الوليد بن عبدالملك ، حي طويق ، الرياض ، الرياض,8500.0,محل للايجار سنوي على دفعتين او شهري,24.0,60.0,7.0,2.0,24.591633,46.56094,4.5,,الرياض,21,حي طويق,682,6.0,4.0,0.0
2165,شارع-عرفات-حي-بدر-الرياض-الرياض-4717668,محل للإيجار في شارع عرفات ، حي بدر ، الرياض ، الرياض,40000.0,"صالات ميزانين فتحتين على طريق عرفات حي بدر مقابل صناعية الشفا 
مساحة الدور الأرضي 100 متر مربع
مساحة الدور  العلوي 50 متر مربع
للتواصل: 0558882552",150.0,60.0,7.0,4.0,24.548674,46.72026,4.17,,الرياض,21,حي بدر,648,10.0,10.0,0.0
2166,شارع-حزام-الدوسري-حي-الدار-البيضاء-الرياض-الرياض-4717985,محل للإيجار في شارع حزام الدوسري ، حي الدار البيضاء ، الرياض ، الرياض,50000.0,حوش مناسب لنشاط تأجير السيارات والنقل المدرسي,751.0,30.0,1.0,3.0,24.560085,46.769615,4.7,,الرياض,21,حي الدار البيضاء,424,25.0,30.0,0.0
2170,طريق-نجم-الدين-الأيوبي-الفرعي-حي-طويق-الرياض-الرياض-4719017,محل للبيع في طريق نجم الدين الأيوبي الفرعي ، حي طويق ، الرياض ، الرياض,250000.0,"مطعم جديد للبيع 
وجبات سريعة (فطاير - بيتزا - شاورما - برجر)
المطعم مجهز بكامل التجهيزات 100% 
فرن - غاز مركزي - شوايات شاورما - مكائن بروستد - شوايات - قلايات - ثلاجات - فريزر - كاميرات - جهاز محاسبة - مكيفات - مراوح وقريلات - لبس موحد - اكياس مطبوعة - واجهة كلادينج ولوحة - ديكور داخلي وخارجي متكامل .
سجل تجاري جديد - رخصة بلدية
المطعم تم تجهيزه ولم يعمل 
لا يوجد عمالة مسجلة على الرخصة
موقع متميز تم دراسته بعناية ، كثافة سكانية وشارع رئيسي (طريق نجم الدين الأيوبي)
سعر البيع للجاد 250الف
الإيجار مدفوع أكثر من سنة 13شهر
التواصل من خلال الإتصال 0554484451 لايوجد واتساب",160.0,60.0,0.0,4.0,24.553116,46.566693,,,الرياض,21,حي طويق,682,8.0,20.0,0.0
2172,شارع-الخبره-حي-العزيزية-الرياض-الرياض-4719880,محل للإيجار في شارع الخبره ، حي العزيزية ، الرياض ، الرياض,60000.0,"معرض للايجار 



التواصل 

0505402202

0504400936

0503429232",55.0,30.0,,3.0,24.586668,46.761368,4.61,,الرياض,21,حي العزيزية,502,5.0,11.0,0.0
2174,شارع-ينبع-حي-ظهرة-لبن-الرياض-الرياض-4720343,محل للإيجار في شارع ينبع ، حي ظهرة لبن ، الرياض ، الرياض,65000.0,"معرض تجاري ميزانيين المساحه 173م 

وفي حال رغب المستاجر بمساحه اكبر يوجد معرضين نستطيع اضافتهااا حسب المساحه المطلوبه..

المعرض شارع نجد مع تقاطع ينبع 
عماره تجاريه زاويه ..

والايجار قابل للتفاوض",173.0,60.0,6.0,3.0,24.625406,46.529686,3.67,,الرياض,21,حي ظهرة لبن,688,30.0,6.0,0.0
2180,شارع-خديجة-بنت-خويلد-حي-طويق-الرياض-الرياض-4721873,محل للبيع في شارع خديجة بنت خويلد ، حي طويق ، الرياض ، الرياض,35000.0,"حلاق للتقبيل حي طويق شارع خديجة بنت خويلد  الموقع تقريبي
بكامل معداته 
عقد الايجار باقي فيه 7 شهور 
حد 35000

للتواصل 
0555054969",56.0,60.0,22.0,1.0,24.587727,46.530949,3.46,,الرياض,21,حي طويق,682,20.0,2.0,0.0
2181,شارع-عسير-حي-الشميسي-الرياض-الرياض-4721998,محل للإيجار في شارع عسير ، حي الشميسي ، الرياض ، الرياض,100000.0,"محل كبير على شارع عسير في حي الشميسي 
مساحة ٢٢٥ م 
على ٣ شوارع ( كما في الصورة )
٣ محلات
قابل للتجزأة ( ممكن استاجار محل او اثنين فقط ) 
يوجد مكيف صحراوي 
وله ٣ عدادات كهرباء 

ممكن استأجار محل او اثنين 

تبعد ٣٠٠ م عن محطة مترو الرياض طريق المدينة المنورة مع شارع عسير 

السعر ١٠٠ الف",225.0,40.0,5.0,1.0,24.617985,46.702316,4.6,,الرياض,21,حي الشميسي,480,,,0.0
2182,شارع-الأمير-محمد-بن-سعد-بن-عبدالعزيز-حي-القيروان-الرياض-الرياض-4722289,محل للإيجار في شارع الأمير محمد بن سعد بن عبدالعزيز ، حي القيروان ، الرياض ، الرياض,115000.0,"معرض تجاري مساحة ٩٠ م - الايجار ١١٥ الف
معرضين تجاريه مساحة ١٨٠ م - الايجار ٢١٠ الف ريال",90.0,60.0,5.0,2.0,24.819864,46.595306,5.0,,الرياض,21,حي القيروان,536,4.0,22.0,0.0
2183,حي-الجزيرة-الرياض-الرياض-4722412,محل للبيع في حي الجزيرة ، الرياض ، الرياض,750000.0,"للتقبيل معرض تجاري في أسواق شرق مخرج ١٧
على الطريق الدائري الفرعي مباشرة
 المعرض يقع على شارعين 

المساحة: الميزان الأرضي 521 م الميزان العلوي 300م ** 

الميزان العلوي تم بنائه وليس محسوب بقيمة الايجار 

يوجد بالمعرض عدد ٢مكاتب عدد ١ دورة مياه المعرض مجهز بالتكييف قيمة الايجار السنوي: 408,000  شاملة الضريبة والصيانة والنظافة والامن

 العقد ساري حتى 26-10-2023 

الأنشطة المقترحة: الأثاث – الالكترونيات – الاواني المنزلية",800.0,100.0,1.0,7.0,24.655262,46.792095,,,الرياض,21,حي الجزيرة,408,40.0,20.0,0.0
2186,شارع-علي-عبدالله-القضاعي-حي-الخزامى-الرياض-الرياض-4722585,محل للإيجار في شارع علي عبدالله القضاعي ، حي الخزامى ، الرياض ، الرياض,120000.0,"(للتقبيل)

محل تجاري على شارع علي القضاعي بحي الخزامى مساحته بحدود ٦٠ م٢



0550414171",60.0,36.0,15.0,1.0,24.715561,46.608185,,,الرياض,21,حي الخزامى,420,5.0,12.0,0.0
2190,شارع-انس-بن-مالك-لفرعي-حي-الصحافة-الرياض-الرياض-4723584,محل للإيجار في شارع انس بن مالك لفرعي ، حي الصحافة ، الرياض ، الرياض,800000.0,"*فرصة نادرة في موقع مميز*

للايجار (عمارة تجارية مكتبية) في حي الصحافة - الرياض، على طريق أنس بن مالك بين طريقي العليا والملك عبدالعزيز،

- مساحة المعارض : 805م٢ 
- 

المميزات:
موقع مميز على طريق حيوي، مساحات مفتوحة موزعة على ٤ أدوار، عدد ٢ مصعد، درج رئيسي ودرج جانبي، ٩ مواقف للسيارات، نظام انذار ورش آلي (تصنيف خطورة متوسطة)، واجهات كلادنج حديثة. عدد٢ عداد كهرباء، كل دور من الأدوار الأربعة مزود بعدد ٢ دورات مياه وبوفيه ومغاسل.
 
الموقع:
https://maps.app.goo.gl/mryoeEPY88C4KdFd7

وكيل التسويق والتأجير
شركة الحيدري 
0590709035
0503496899",805.0,60.0,7.0,1.0,24.817551,46.64043,4.24,,الرياض,21,حي الصحافة,486,26.0,30.0,0.0
2193,شارع-الزبير-بن-العوام-حي-السلام-الرياض-الرياض-4724956,محل للإيجار في شارع الزبير بن العوام ، حي السلام ، الرياض ، الرياض,20000.0,يوجد ٥ محلات للاجار الفتحه الوحده ب ٢٠ الف,32.0,30.0,15.0,2.0,24.711132,46.818302,4.48,,الرياض,21,حي السلام,464,4.0,8.0,0.0
2199,الرياض-حي-هجرة-لبن-الرياض-4728608,محل للإيجار في الرياض ، حي هجرة لبن ، الرياض,20000.0,"للتقبيل محل حي لبن ( الاحمدية )

الايجار السنوي 20 الف ريال 
مدفوع قسط سنة والمتبقي 6 شهور ، البيع 60 الف ريال",50.0,40.0,,3.0,24.630049,46.600655,3.82,,الرياض,21,حي لبن,708,4.0,12.0,0.0
2200,طريق-الامام-عبدالله-بن-سعود-بن-عبدالعزيز-الفرعى-حي-اليرموك-الرياض-الرياض-4729024,محل للإيجار في طريق الامام عبدالله بن سعود بن عبدالعزيز الفرعى ، حي اليرموك ، الرياض ، الرياض,100000.0,صالات للايجار ميزانين,190.0,80.0,0.0,4.0,24.796368,46.777489,3.88,,الرياض,21,حي اليرموك,634,5.0,38.0,0.0
2202,شارع-الحضرة-حي-غرناطة-الرياض-الرياض-4729508,محل للإيجار في شارع الحضرة ، حي غرناطة ، الرياض ، الرياض,120000.0,"معرض للايجار بحي غرناطة 
على شارع الشيخ الحسن بن حسين بن علي. 

مساحته 120 متر مربع تقريباً . 
عبارة عن محلين مكيفة تكييف كسيت 

على زاوية بين طريق الدمام و شارع ابي جعفر المنصور
 


الايجار /  120 الف.

الموقع / 
شارع الحسن بن حسين ، غرناطة، الرياض 13242، السعودية
https://goo.gl/maps/6F9h6sryYUguDQ2W9",126.0,60.0,11.0,5.0,24.802998,46.759964,4.43,,الرياض,21,حي غرناطة,704,7.0,18.0,0.0
